# VespaTrack vooruit-nadering van de beacon
# meetmoment: 2026-07-29 15:51:44
# hoogte: 3.0 m
# GPS-startpositie: lat 50.7590532, lon 4.2256296
# beacon-afstand vanaf start: 15 m
# metingen per stap: 5
# beacon zendvermogen: 2 dBm
# lora config: SF7 / BW125 kHz / 433.0 MHz
# afstand_afgelegd = commando-afstand vanaf start; gps_* = werkelijke positie
afstand_afgelegd,gps_lat,gps_lon,gps_alt,rssi_mediaan,rssi_min,rssi_max,snr_mediaan,snr_min,snr_max,n_metingen,tijdstip
0,50.7590542,4.2256296,2.99,-93.0,-93.0,-92.0,8.2,7.5,8.5,5,15:49:16
5,50.7590869,4.2256775,3.08,-88.0,-89.0,-87.0,8.5,7.2,8.5,5,15:49:29
9,50.7591158,4.2257106,3.07,-86.0,-87.0,-85.0,8.8,8.0,8.8,5,15:49:43
10,50.7591229,4.2257204,3.24,-89.0,-90.0,-86.0,8.5,7.8,9.0,5,15:49:55
11,50.7591301,4.2257281,3.32,-91.0,-95.0,-88.0,7.5,5.8,8.2,5,15:50:06
12,50.7591381,4.2257352,3.17,-89.0,-94.0,-88.0,8.5,8.0,9.0,5,15:50:17
13,50.7591458,4.2257416,3.03,-87.0,-88.0,-86.0,8.8,5.2,9.8,5,15:50:28
14,50.7591535,4.2257476,2.95,-89.0,-89.0,-88.0,8.8,8.5,9.2,5,15:50:39
15,50.7591619,4.2257517,2.88,-94.0,-95.0,-91.0,6.8,6.2,8.2,5,15:50:49
16,50.7591701,4.2257571,2.9,-96.0,-100.0,-94.0,5.5,4.8,8.2,5,15:51:00
17,50.7591791,4.2257617,3.01,-99.0,-100.0,-98.0,5.2,2.2,6.0,5,15:51:09
18,50.7591878,4.2257657,2.97,-101.0,-120.0,-100.0,3.8,2.0,4.5,5,15:51:21
19,50.7591963,4.2257702,2.97,-105.0,-105.0,-104.0,1.0,-0.5,1.8,4,15:51:32
20,50.7592035,4.2257767,2.94,-105.0,-107.0,-101.0,-0.5,-1.8,2.0,5,15:51:44
