# VespaTrack 360-graden stralingsdiagram
# meetmoment: 2026-07-28 16:59:04
# hoogte: 4.0 m
# meetplek: lat 50.7591528, lon 4.2256603
# metingen per hoek: 5
# beacon zendvermogen: 2 dBm
# lora config: SF7 / BW125 kHz / 433.0 MHz
# hoek_gemeten is absolute MAVLink-heading, niet relatief
hoek_commando,hoek_gemeten,rssi_mediaan,rssi_min,rssi_max,snr_mediaan,snr_min,snr_max,n_metingen,tijdstip
151.2,158.7,-101.5,-105.0,-100.0,2.65,1.8,4.0,4,16:54:03
161.2,167.6,-104.5,-120.0,-101.0,-1.4,-3.2,0.0,4,16:54:21
171.2,173.4,-104.0,-105.0,-104.0,1.0,-0.8,1.5,5,16:54:27
181.2,184.4,-104.0,-106.0,-103.0,1.8,-1.5,2.2,5,16:54:33
191.2,194.3,-103.0,-103.0,-101.0,4.0,2.5,5.2,5,16:54:42
201.2,203.0,-102.0,-102.0,-102.0,3.5,1.8,5.0,5,16:54:49
211.2,213.7,-103.0,-103.0,-102.0,2.5,1.8,3.8,5,16:54:55
221.2,222.5,-106.0,-107.0,-105.0,-0.5,-5.2,0.5,5,16:55:02
231.2,233.4,-106.0,-106.0,-105.0,-2.0,-6.8,0.5,5,16:55:12
241.2,240.6,-105.0,-106.0,-103.0,-1.5,-2.5,1.5,5,16:55:22
251.2,253.4,-104.0,-105.0,-103.0,1.5,1.0,2.8,5,16:55:31
261.2,264.7,-103.0,-104.0,-102.0,1.8,0.8,4.0,5,16:55:39
271.2,280.2,-102.0,-103.0,-100.0,4.0,2.8,4.8,5,16:55:46
281.2,282.5,-100.0,-101.0,-100.0,5.8,5.2,6.2,5,16:56:00
291.2,297.1,-100.0,-101.0,-99.0,5.2,4.8,6.2,5,16:56:09
301.2,300.3,-101.0,-102.0,-100.0,5.2,4.5,6.0,5,16:56:23
311.2,313.0,-101.0,-102.0,-101.0,4.8,4.0,6.0,5,16:56:30
321.2,324.0,-102.0,-103.0,-100.0,4.5,-0.2,7.0,5,16:56:38
331.2,333.1,-103.0,-104.0,-101.0,1.8,0.2,2.5,5,16:56:45
341.2,342.6,-103.0,-104.0,-102.0,2.8,1.8,3.8,5,16:56:53
351.2,350.5,-101.0,-103.0,-99.0,4.2,3.8,4.8,5,16:57:02
1.2,1.4,-100.0,-102.0,-99.0,5.5,5.5,6.8,4,16:57:13
11.2,13.3,-99.0,-100.0,-98.0,6.5,5.0,6.8,5,16:57:21
21.2,24.6,-97.0,-99.0,-96.0,6.5,6.5,7.2,5,16:57:30
31.2,35.3,-98.0,-99.0,-97.0,6.0,5.2,7.2,5,16:57:38
41.2,43.3,-99.0,-100.0,-98.0,6.5,6.0,7.0,5,16:57:47
51.2,53.0,-100.0,-101.0,-99.0,5.5,1.8,6.0,5,16:57:54
61.2,61.6,-99.0,-100.0,-99.0,6.0,5.5,6.0,5,16:58:02
71.2,74.4,-100.0,-101.0,-99.0,5.2,5.0,5.8,5,16:58:08
81.2,80.5,-100.0,-100.0,-100.0,5.5,4.8,6.0,5,16:58:15
91.2,95.3,-100.0,-100.0,-99.0,6.2,5.8,6.5,5,16:58:24
101.2,105.5,-99.0,-100.0,-99.0,6.8,6.5,7.0,5,16:58:30
111.2,111.4,-101.0,-101.0,-101.0,6.0,5.2,6.2,5,16:58:37
121.2,124.0,-102.0,-103.0,-101.0,4.0,3.5,5.0,5,16:58:45
131.2,132.9,-105.0,-105.0,-104.0,1.0,0.2,4.0,5,16:58:54
141.2,141.7,-105.0,-105.0,-105.0,0.5,-0.2,1.0,5,16:59:04
