# VespaTrack zoekvlucht (search.py)
# meetmoment: 2026-08-02 17:22:20
# zoekhoogte: 2.5 m
# GPS-startpositie: lat 50.7591966, lon 4.2257379
# peiling fase 1: stapsgewijs, 12 hoeken van 30 graden, stilstaand gemeten
# metingen per hoek: 5
# beacon zendvermogen: 2 dBm
# lora config: SF7 / BW125 kHz / 433.2 MHz
# fase 1: stapsgewijs, 12 hoeken x 30°, 12 met signaal
# kandidaten: 135° (+6.8 dB), 67° (+7.2 dB)
# lob: 170° breed (3 dB), 3 losse hoek(en) erbuiten, variatie erbinnen 1.4 dB, piek 67° vs zwaartepunt 135° = 68° uiteen -> AMBIGU — meerdere losse richtingen binnen 3 dB
# fase 2: kandidaat 135° bevestigd (+7.0 dB over 10.0 m)
# fase 3: koers +30° gecorrigeerd na -10.0 dB
# fase 3: koers -60° gecorrigeerd na -7.0 dB
# fase 3: koers +30° gecorrigeerd na -2.0 dB
# fase 3: maximum van 6 stappen bereikt
# fase 1, 2 en 3 = STILSTAANDE medianen (1 rij per meetpunt); alleen fase 4 logt continu tijdens de pass
fase,t_s,tijdstip,gps_lat,gps_lon,gps_alt,heading,rssi,snr,n,opmerking
peilen,0.0,17:18:55,50.7591968,4.2257366,2.63,91.7,-98.0,6.8,5,hoek 0°
peilen,14.56,17:19:10,50.7591955,4.2257367,2.45,15.4,-100.0,4.8,5,hoek 30°
peilen,26.07,17:19:21,50.7591972,4.225736,2.48,66.7,-98.0,7.2,5,hoek 60°
peilen,33.62,17:19:29,50.7591972,4.225736,2.51,92.0,-99.0,5.8,5,hoek 90°
peilen,40.22,17:19:36,50.7591959,4.2257372,2.69,120.7,-96.0,7.0,5,hoek 120°
peilen,48.18,17:19:43,50.7591968,4.225738,2.51,145.9,-95.0,6.8,5,hoek 150°
peilen,54.74,17:19:50,50.7591961,4.2257368,2.48,182.8,-97.0,6.8,5,hoek 180°
peilen,62.31,17:19:58,50.7591966,4.2257374,2.47,214.8,-97.0,7.0,5,hoek 210°
peilen,68.35,17:20:04,50.7591969,4.2257362,2.41,236.8,-100.0,5.8,5,hoek 240°
peilen,73.87,17:20:09,50.7591971,4.2257371,2.43,268.9,-103.0,2.2,5,hoek 270°
peilen,79.41,17:20:15,50.7591964,4.2257369,2.48,300.4,-99.0,6.5,5,hoek 300°
peilen,84.87,17:20:20,50.7591959,4.2257376,2.5,332.5,-101.0,4.5,5,hoek 330°
verifieren,101.02,17:20:36,50.7591971,4.2257361,2.52,133.4,-95.0,7.5,5,kandidaat 135° voor
verifieren,118.08,17:20:53,50.7591341,4.2258357,2.83,135.5,-88.0,8.5,5,kandidaat 135° na
naderen,131.12,17:21:06,50.7591029,4.2258845,3.08,133.2,-84.0,8.5,5,stap 1 koers 135°
naderen,144.71,17:21:20,50.7590713,4.2259348,2.86,134.4,-81.0,8.0,5,stap 2 koers 135°
naderen,158.8,17:21:34,50.7590409,4.2259842,2.82,135.6,-91.0,7.5,5,stap 3 koers 135°
naderen,172.33,17:21:48,50.7589969,4.2260053,2.77,169.5,-98.0,5.8,5,stap 4 koers 165°
naderen,184.92,17:22:00,50.7589847,4.2260725,2.64,106.9,-96.0,7.0,5,stap 5 koers 105°
naderen,197.95,17:22:13,50.7589751,4.2261414,2.79,102.5,-98.0,6.0,5,stap 6 koers 105°
overvliegen,201.01,17:22:16,50.7589725,4.2261417,2.77,103.1,-98.0,6.0,1,
overvliegen,201.52,17:22:17,50.7589713,4.2261442,2.78,124.2,-98.0,1.2,1,
overvliegen,201.97,17:22:17,50.7589688,4.2261484,2.8,142.2,-103.0,0.0,1,
overvliegen,202.97,17:22:18,50.7589623,4.2261577,2.82,136.2,-104.0,1.0,1,
overvliegen,204.55,17:22:20,50.7589531,4.2261722,2.89,134.6,-103.0,2.2,1,
