# VespaTrack zoekvlucht (search.py)
# meetmoment: 2026-08-02 19:12:38
# zoekhoogte: 2.5 m
# GPS-startpositie: lat 50.7592059, lon 4.2257418
# peiling fase 1: stapsgewijs, 12 hoeken van 30 graden, stilstaand gemeten
# metingen per hoek: 5
# beacon zendvermogen: 2 dBm
# lora config: SF7 / BW125 kHz / 433.2 MHz
# fase 1: stapsgewijs, 12 hoeken x 30°, 12 met signaal
# kandidaten: 145° (+6.8 dB)
# lob: 178° breed (3 dB), variatie erbinnen 3.0 dB, piek 152° vs zwaartepunt 145° = 7° uiteen -> BREED
# fase 2: kandidaat 145° bevestigd (+7.0 dB over 10.0 m)
# fase 3: doorgevlogen 15.1 m, 30 packets
# fase 3: heenweg — instort 3.6 dB over 1.5 m
# fase 4: teruggekruist 12.2 m, 19 packets
# fase 4: terugweg — geen instort gevonden (steilste 1.7 dB over 3 m); positie = sterkste RSSI -84 dBm
# resultaat: kruisingen 8.0 m uit elkaar — niet gemiddeld; geen instort gevonden (steilste 1.7 dB over 3 m); positie = sterkste RSSI -84 dBm
# fase 1, 2 en 3 = STILSTAANDE medianen (1 rij per meetpunt); alleen fase 4 logt continu tijdens de pass
fase,t_s,tijdstip,gps_lat,gps_lon,gps_alt,heading,rssi,snr,n,opmerking
peilen,0.0,19:09:55,50.7592069,4.2257407,2.55,71.1,-101.0,6.0,5,hoek 0°
peilen,15.03,19:10:10,50.7592064,4.2257406,2.65,12.4,-103.0,2.0,5,hoek 30°
peilen,22.09,19:10:17,50.7592063,4.225741,2.61,62.5,-100.0,5.8,5,hoek 60°
peilen,27.55,19:10:23,50.7592065,4.2257404,2.56,87.4,-102.0,3.8,5,hoek 90°
peilen,33.09,19:10:28,50.7592065,4.2257412,2.48,120.4,-99.0,6.2,5,hoek 120°
peilen,38.68,19:10:34,50.7592067,4.2257414,2.38,151.9,-98.0,6.8,5,hoek 150°
peilen,44.67,19:10:40,50.7592061,4.2257411,2.39,177.2,-100.0,6.2,5,hoek 180°
peilen,51.72,19:10:47,50.7592065,4.2257389,2.44,211.5,-99.0,6.8,5,hoek 210°
peilen,58.27,19:10:53,50.7592066,4.2257415,2.58,240.1,-102.0,4.8,5,hoek 240°
peilen,67.28,19:11:02,50.7592064,4.2257413,2.62,266.3,-104.0,2.0,5,hoek 270°
peilen,74.85,19:11:10,50.7592058,4.2257408,2.52,296.7,-102.0,2.5,5,hoek 300°
peilen,80.88,19:11:16,50.7592068,4.2257403,2.58,323.5,-102.0,1.2,5,hoek 330°
verifieren,98.44,19:11:34,50.7592071,4.2257421,2.32,143.5,-97.0,6.5,5,kandidaat 145° voor
verifieren,114.54,19:11:50,50.7591338,4.2258254,2.17,137.0,-90.0,8.0,5,kandidaat 145° na
doorvliegen,120.56,19:11:56,50.7591338,4.2258244,2.24,145.0,-91.0,8.5,1,
doorvliegen,121.06,19:11:56,50.7591322,4.2258264,2.27,146.5,-91.0,8.8,1,
doorvliegen,121.57,19:11:57,50.7591293,4.2258303,2.25,145.5,-90.0,8.0,1,
doorvliegen,122.07,19:11:57,50.7591258,4.2258344,2.25,143.4,-89.0,8.5,1,
doorvliegen,122.58,19:11:58,50.7591223,4.2258381,2.24,143.0,-89.0,8.2,1,
doorvliegen,123.09,19:11:58,50.7591186,4.225842,2.25,144.4,-89.0,8.5,1,
doorvliegen,123.6,19:11:59,50.7591152,4.2258459,2.24,145.2,-88.0,8.0,1,
doorvliegen,124.11,19:11:59,50.7591114,4.2258497,2.24,145.1,-88.0,8.8,1,
doorvliegen,124.57,19:12:00,50.7591076,4.2258538,2.23,145.3,-87.0,8.0,1,
doorvliegen,125.07,19:12:00,50.7591039,4.2258583,2.23,146.5,-87.0,8.2,1,
doorvliegen,125.58,19:12:01,50.7591002,4.2258627,2.22,147.8,-87.0,5.2,1,
doorvliegen,126.09,19:12:01,50.7590965,4.2258671,2.21,148.5,-87.0,8.2,1,
doorvliegen,126.59,19:12:02,50.7590927,4.2258715,2.19,147.5,-86.0,8.8,1,
doorvliegen,127.1,19:12:02,50.7590888,4.2258755,2.19,146.3,-86.0,8.8,1,
doorvliegen,127.61,19:12:03,50.7590849,4.2258794,2.16,145.7,-86.0,8.5,1,
doorvliegen,128.12,19:12:03,50.7590811,4.2258833,2.15,145.4,-86.0,8.2,1,
doorvliegen,129.13,19:12:04,50.759074,4.2258911,2.16,142.4,-85.0,9.0,1,
doorvliegen,129.64,19:12:05,50.7590704,4.225895,2.17,140.6,-85.0,9.0,1,
doorvliegen,130.09,19:12:05,50.7590669,4.2258992,2.16,140.0,-85.0,8.5,1,
doorvliegen,130.59,19:12:06,50.7590634,4.2259034,2.17,139.6,-85.0,8.5,1,
doorvliegen,131.1,19:12:06,50.7590597,4.2259078,2.17,139.6,-82.0,8.8,1,
doorvliegen,131.6,19:12:07,50.7590559,4.225912,2.17,140.1,-85.0,8.0,1,
doorvliegen,132.11,19:12:07,50.7590522,4.2259165,2.17,140.7,-83.0,8.5,1,
doorvliegen,132.62,19:12:08,50.7590488,4.225921,2.17,143.0,-86.0,8.5,1,
doorvliegen,133.12,19:12:08,50.7590452,4.2259249,2.19,146.3,-89.0,8.5,1,
doorvliegen,133.62,19:12:09,50.7590415,4.2259288,2.18,148.8,-91.0,7.5,1,
doorvliegen,134.13,19:12:09,50.7590378,4.2259325,2.19,149.0,-91.0,7.0,1,
doorvliegen,135.1,19:12:10,50.7590303,4.2259409,2.26,144.7,-93.0,7.0,1,
doorvliegen,135.6,19:12:11,50.7590269,4.2259455,2.3,142.9,-93.0,6.5,1,
doorvliegen,136.11,19:12:11,50.7590235,4.2259501,2.33,141.7,-95.0,6.8,1,
terugkruisen,150.19,19:12:25,50.7590217,4.2259517,2.34,327.2,-86.0,8.2,1,
terugkruisen,150.7,19:12:26,50.759022,4.2259519,2.37,327.6,-87.0,9.0,1,
terugkruisen,151.2,19:12:26,50.7590245,4.2259495,2.38,324.7,-86.0,8.5,1,
terugkruisen,152.2,19:12:27,50.7590309,4.2259406,2.38,326.8,-87.0,8.5,1,
terugkruisen,152.76,19:12:28,50.7590363,4.2259338,2.41,326.8,-86.0,9.5,1,
terugkruisen,153.21,19:12:28,50.7590382,4.2259318,2.43,327.0,-86.0,9.2,1,
terugkruisen,153.72,19:12:29,50.759044,4.2259261,2.48,326.4,-84.0,8.5,1,
terugkruisen,154.22,19:12:29,50.759048,4.2259224,2.52,326.0,-84.0,7.8,1,
terugkruisen,155.23,19:12:30,50.759056,4.2259147,2.54,325.6,-84.0,9.0,1,
terugkruisen,155.74,19:12:31,50.7590594,4.2259104,2.56,325.2,-85.0,9.2,1,
terugkruisen,156.19,19:12:31,50.7590612,4.2259082,2.57,324.9,-86.0,8.8,1,
